Tweet Id,Username,Datetime,Text
1616222442183360513,liulyz_,2023-01-19 23:53:52+00:00,"@geummyhee looks a little like a minor burn, like the one i've gotten from using a hair straightener, likely some accident"
1616222409622691848,yagrle,2023-01-19 23:53:45+00:00,My senior year three boys riding in the same car got into a car accident on the way to school. They gave them honorary diplomas too.
1616222397987790848,tariolaw,2023-01-19 23:53:42+00:00,"Top 5 Common Causes of Car Accidents
https://t.co/2xbKT1KBb4

#tarioandassociates #caraccidentlawyer"
1616222384834347008,AccidentsGarage,2023-01-19 23:53:39+00:00,@d_janthony @libsoftiktok Totally.  Great big FO TO HESHEITWHATEVER.
1616222380673896449,David_____1,2023-01-19 23:53:38+00:00,@SaladBarFan Had to be an accident but it still seemed like something that would happen to him. Baldwin’s always been kind of a loose cannon.
1616222378962321409,shakiradiaz_,2023-01-19 23:53:37+00:00,@womenonthemove1 @TheShadeRoom Why tho? It was an accident. The people in charge of the stunt gun should be charged.
1616222369860796418,jake_maaske,2023-01-19 23:53:35+00:00,"Debt limit reached at $31 trillion, proxy war in full effect, and a money laundering scheme to boot 

Welcome to America 

Anyone wanna find some loopholes to evade taxes with me? 
Unless you wanna financially support some tards bombing Poland on accident 

Up to you, lab rat!"
1616222343197491200,lvpawat,2023-01-19 23:53:29+00:00,@GMMTV The person you put in charge of subtitles for #10YearsTicketEP12 had an accident on the way to work yesterday. I don’t know if you’re aware.
1616222324814155776,traumareitxt,2023-01-19 23:53:24+00:00,"It was a crash in the subway...no, an accident."
1616222307126579203,awn_site,2023-01-19 23:53:20+00:00,MLS player dies after boating accident in Miami https://t.co/uicNyj2a5a
